Registo;Numero Final;Nome Nivel;Real World Assistance;Tempo Absoluto (Segundos);Tempo Entre Logs (Segundos);Tempo;FPS;Delta Body;Estado;Player Position;Previous Player Position;Camera Position;Main Joint Position;Previous Main Joint Position;Objectivo Position;Deslc. Player Total;Deslc. Player Directo;Deslc. Player WIP;Deslc. Player Estacionario;Deslc. Joint Total;Deslc. Joint Directo;Deslc. Joint WIP;Deslc. Joint Estacionario;Dist Objectivo Total;Dist Objectivo Directo;Dist Objectivo WIP;Dist Objectivo Estacionario;Vel. Real (Directa);Vel. Virtual (WIP);Vel. Virtual in Use (WIP);Threshold de Velocidade Directa;Is Force To Stop;Count Times Force To Stop ;Left Hand State ;Right Hand State ;Num Colicoes (Objectos do Mundo Virtual);Id;Iniciado;Extra
0;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,0010009;0,0680452;20170323T192155;60,00002;0;Estacionario;(-0.001,1.650,0.011);(-0.001,1.650,0.011);(-0.010,1.034,0.011);(2.087,0.797,-0.878);(2.087,0.797,-0.878);(20.253,0.500,-20.000);0;0;0;0;0;0;0;0;28,47217;0;0;28,47217;0,0004020106;0;0;0,8;False;0;Unknown;Unknown;0;1;True;Reset Human
1;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,1150771;0,1140762;20170323T192155;60,00002;0;Estacionario;(0.000,1.650,0.011);(-0.001,1.650,0.011);(-0.009,1.036,0.013);(2.087,0.797,-0.878);(2.087,0.797,-0.878);(20.253,0.500,-20.000);0,0009994507;0;0;0,0009994507;0;0;0;0;28,47146;0;0;28,47146;0,0002141398;0;0;0,8;False;0;Unknown;Unknown;0;1;True;NULL
2;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,1656096;0,0505325;20170323T192156;60,00002;0;Estacionario;(0.000,1.650,0.011);(0.000,1.650,0.011);(-0.006,1.038,0.011);(2.087,0.797,-0.878);(2.087,0.797,-0.878);(20.253,0.500,-20.000);0;0;0;0;0;0;0;0;28,47146;0;0;28,47146;0,0001140663;0;0;0,8;False;0;Unknown;Unknown;0;1;True;NULL
3;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,2326544;0,0670448;20170323T192156;60,00002;0;Estacionario;(0.000,1.650,0.011);(0.000,1.650,0.011);(-0.004,1.039,0.013);(2.088,0.797,-0.878);(2.087,0.797,-0.878);(20.253,0.500,-20.000);0;0;0;0;0,001000166;0;0;0,001000166;28,47146;0;0;28,47146;0,01277478;0;0;0,8;False;0;Unknown;Unknown;0;1;True;NULL
4;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,3011998;0,0685454;20170323T192156;60,00002;0;Estacionario;(0.001,1.650,0.011);(0.000,1.650,0.011);(-0.003,1.039,0.017);(2.089,0.798,-0.878);(2.088,0.797,-0.878);(20.253,0.500,-20.000);0,0009994507;0;0;0,0009994507;0,0009999275;0;0;0,0009999275;28,47075;0;0;28,47075;0,01745496;0;0;0,8;False;0;Unknown;Unknown;0;1;True;NULL
5;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,3482312;0,0470314;20170323T192156;60,00002;0;Estacionario;(0.002,1.650,0.011);(0.001,1.650,0.011);(-0.003,1.038,0.019);(2.089,0.797,-0.879);(2.089,0.798,-0.878);(20.253,0.500,-20.000);0,0009994507;0;0;0,0009994507;0,0009999871;0;0;0,0009999871;28,47004;0;0;28,47004;0,02161231;0;0;0,8;False;0;Unknown;Unknown;0;1;True;NULL
6;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,4212795;0,0730483;20170323T192156;60,00002;0;Estacionario;(0.002,1.650,0.010);(0.002,1.650,0.011);(-0.004,1.037,0.020);(2.089,0.797,-0.879);(2.089,0.797,-0.879);(20.253,0.500,-20.000);0,0009999871;0;0;0,0009999871;0;0;0;0;28,46934;0;0;28,46934;0,01151227;0;0;0,8;False;0;Unknown;Unknown;0;1;True;NULL
7;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,4848223;0,0635428;20170323T192156;60,00002;0;Estacionario;(0.002,1.650,0.010);(0.002,1.650,0.010);(-0.005,1.034,0.021);(2.089,0.797,-0.879);(2.089,0.797,-0.879);(20.253,0.500,-20.000);3,814697E-06;0;0;3,814697E-06;0;0;0;0;28,46933;0;0;28,46933;0,006132263;0;0;0,8;False;0;Unknown;Unknown;0;1;True;NULL
8;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,5438608;0,0590385;20170323T192156;60,00002;0;Estacionario;(0.002,1.650,0.010);(0.002,1.650,0.010);(-0.005,1.033,0.022);(2.089,0.797,-0.880);(2.089,0.797,-0.879);(20.253,0.500,-20.000);3,814697E-06;0;0;3,814697E-06;0,0009999871;0;0;0,0009999871;28,46934;0;0;28,46934;0,01558179;0;0;0,8;False;0;Unknown;Unknown;0;1;True;NULL
9;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,6204119;0,0765511;20170323T192156;60,00002;0;Estacionario;(0.002,1.650,0.009);(0.002,1.650,0.010);(-0.005,1.033,0.023);(2.089,0.796,-0.879);(2.089,0.797,-0.880);(20.253,0.500,-20.000);0,0009999871;0;0;0,0009999871;0,0009999871;0;0;0,0009999871;28,46864;0;0;28,46864;0,01651007;0;0;0,8;False;0;Unknown;Unknown;0;1;True;NULL
10;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,6684443;0,0480324;20170323T192156;60,00002;0;Estacionario;(0.002,1.650,0.010);(0.002,1.650,0.009);(-0.005,1.034,0.022);(2.089,0.796,-0.879);(2.089,0.796,-0.879);(20.253,0.500,-20.000);0,0009999871;0;0;0,0009999871;0;0;0;0;28,46934;0;0;28,46934;0,00879445;0;0;0,8;False;0;Unknown;Unknown;0;1;True;NULL
11;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,7175221;0,0490778;20170323T192156;60,00002;0;Estacionario;(0.002,1.650,0.010);(0.002,1.650,0.010);(-0.005,1.035,0.021);(2.089,0.796,-0.879);(2.089,0.796,-0.879);(20.253,0.500,-20.000);0;0;0;0;0;0;0;0;28,46934;0;0;28,46934;0,004684557;0;0;0,8;False;0;Unknown;Unknown;0;1;True;NULL
12;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,7965798;0,0790577;20170323T192156;60,00002;0;Estacionario;(0.002,1.650,0.010);(0.002,1.650,0.010);(-0.004,1.036,0.019);(2.089,0.796,-0.878);(2.089,0.796,-0.879);(20.253,0.500,-20.000);0;0;0;0;0,0009999871;0;0;0,0009999871;28,46934;0;0;28,46934;0,01106199;0;0;0,8;False;0;Unknown;Unknown;0;1;True;NULL
13;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,8456072;0,0490274;20170323T192156;60,00002;0;Estacionario;(0.002,1.650,0.011);(0.002,1.650,0.010);(-0.005,1.035,0.022);(2.089,0.796,-0.878);(2.089,0.796,-0.878);(20.253,0.500,-20.000);0,0009999871;0;0;0,0009999871;0;0;0;0;28,47004;0;0;28,47004;0,005892411;0;0;0,8;False;0;Unknown;Unknown;0;1;True;NULL
14;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,912651;0,0670438;20170323T192156;60,00002;0;Estacionario;(0.002,1.650,0.011);(0.002,1.650,0.011);(-0.006,1.034,0.023);(2.089,0.796,-0.877);(2.089,0.796,-0.878);(20.253,0.500,-20.000);0;0;0;0;0,001000047;0;0;0,001000047;28,47004;0;0;28,47004;0,01627554;0;0;0,8;False;0;Unknown;Unknown;0;1;True;NULL
15;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;0,9696891;0,0570381;20170323T192156;60,00002;0;Estacionario;(0.002,1.650,0.012);(0.002,1.650,0.011);(-0.009,1.030,0.027);(2.089,0.796,-0.877);(2.089,0.796,-0.877);(20.253,0.500,-20.000);0,001000054;0;0;0,001000054;0;0;0;0;28,47074;0;0;28,47074;0,008669524;0;0;0,8;False;0;Unknown;Unknown;0;1;True;NULL
16;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;1,0462421;0,076553;20170323T192156;60,00002;0;Estacionario;(0.002,1.650,0.012);(0.002,1.650,0.012);(-0.009,1.030,0.027);(2.089,0.796,-0.876);(2.089,0.796,-0.877);(20.253,0.500,-20.000);0;0;0;0;0,0009999871;0;0;0,0009999871;28,47074;0;0;28,47074;0,01693324;0;0;0,8;False;0;Unknown;Unknown;0;1;True;NULL
17;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;1,0930678;0,0468257;20170323T192156;60,00002;0;Estacionario;(0.002,1.650,0.013);(0.002,1.650,0.012);(-0.009,1.032,0.024);(2.089,0.796,-0.876);(2.089,0.796,-0.876);(20.253,0.500,-20.000);0,0009999945;0;0;0,0009999945;0;0;0;0;28,47145;0;0;28,47145;0,009019863;0;0;0,8;False;0;Unknown;Unknown;0;1;True;NULL
18;8;01_Sc_CWIP_Passthrough_Inicio;Passthrough;1,1691192;0,0760514;20170323T192157;60,00002;0;Estacionario;(0.002,1.650,0.013);(0.002,1.650,0.013);(-0.009,1.031,0.029);(2.089,0.797,-0.876);(2.089,0.796,-0.876);(20.253,0.500,-20.000);0;0;0;0;0;0;0;0;28,47145;0;0;28,47145;0,004804628;0;0;0,8;False;0;Unknown;Unknown;0;1;True;NULL
